#,Player,Yr,Pos,Ht,GP,GS,Goals,Assists,Points,Shots,SHG,ENG,GWG,GTG,OT Goals,Shootout,PPG,PPA,Hat Tricks,FOs,FO won,FO lost,FO pct,Penalties,Pen. Min.,GameMisc,DQ,P-M,PShots,PSAtt,Plus,Minus
13,Sarah Waszkielewicz,So,D,5-11,23,0,,,0,9,,,,,,,,0,,2,1,1,0.5,2,4,,,-2,,,11,13
24,Quinn McLaren,So,D,5-11,31,18,10,9,19,55,,,1,,,,4,0,,1,0,1,0,6,23,1,,-13,,,29,42
8,Olivia Grabianowski,So,C,5-5,32,9,8,11,19,57,,,1,1,,,2,0,,452,236,216,0.522,3,6,,,-10,,,24,34
28,Karolina Sykorova,So,F,5-7,6,0,,,0,2,,,,,,,,0,,0,0,0,,1,2,,,-1,,,1,2
14,Morgan Neitzke,Jr,F,5-7,32,20,24,22,46,173,5,4,3,,,,3,0,1,23,4,19,0.174,10,20,,,-15,1,1,38,53
11,Sydney Rarick,Jr,F,5-6,32,10,3,6,9,69,,,,,,,1,0,,7,1,6,0.143,7,14,,,-23,,,17,40
25,Chloe Corbin,Sr,C,5-7,32,7,3,5,8,36,,,,,,,,0,,451,190,261,0.421,7,17,,,-11,,,15,26
16,Kaitlin Finnegan,Sr,F,5-4,31,6,3,8,11,42,,,,,,,1,0,,12,3,9,0.25,8,16,,,-15,,,16,31
22,Thea Jørgensen,Sr,D,5-9,24,13,4,8,12,58,,,1,,,,2,0,,2,1,1,0.5,5,13,,,-27,,,16,43
12,Sena Takenaka,Sr,D,5-3,7,2,1,3,4,9,1,1,,,,,,0,,1,0,1,0,2,4,,,-6,,,7,13
10,Sarah Dravis,Sr,F,5-2,29,2,,1,1,12,,,,,,,,0,,0,0,0,,5,13,,,-10,,,2,12
27,Brooke Pioske,Jr,D,5-7,31,6,,1,1,23,,,,,,,,0,,0,0,0,,8,16,,,-31,,,10,41
15,Sydney McAsh,Jr,D,5-7,9,0,,,0,,,,,,,,,0,,0,0,0,,,,,,-1,,,,1
4,Emma Hoen,So,F,5-7,31,4,,11,11,30,,,,,,,,0,,0,0,0,,2,4,,,-2,,,24,26
19,Molly Henderson,So,C,5-4,32,10,6,16,22,44,,,,,,,2,0,,327,166,161,0.508,2,4,,,-21,,,19,40
