Name,GP,MIN,GA,GAA,SV%,W,L
Ashley Imlach,1,60:00:00,0,0,1,1,0
Grace Glover,3,179:30:00,0,0,1,3,0
Misty Rey,6,365:30:00,5,0.82,0.967,6,0
Madison Oakes,1,1440:00:00,1,1,0.962,1,0
Emma Catalano,3,183:35:00,3,0.98,0.957,3,0
Camryn Drever,23,1312:42:00,29,1.33,0.954,17,6
Martina Fedel,19,1166:48:00,20,1.03,0.951,15,4
Kayla McDougall,5,300:00:00,4,0.8,0.951,5,0
Alexia Stratos,4,241:40:00,5,1.24,0.95,3,1
Cassie McCallum,12,728:12:00,15,1.24,0.947,10,2
Arianne Leblanc,13,18816:00:00,15,1.15,0.946,13,0
Scout Anderson,5,362:11:00,7,1.16,0.944,5,0
Halle Oswald,19,1151:37:00,24,1.25,0.944,12,7
Sophie Helfenstein,9,539:00:00,10,1.11,0.943,8,1
Katie Sweeney,21,1272:56:00,39,1.84,0.941,8,13
Grace Beer,21,1198:19:00,42,2.1,0.938,12,9
Chantelle Sandquist,25,1448:36:00,38,1.57,0.936,20,5
Mikayla Schnarr,19,1058:58:00,30,1.7,0.936,9,9
Kate Fawcett,16,1002:52:00,35,2.09,0.936,5,11
Sophie Scully,6,361:43:00,11,1.82,0.934,2,4
Elizabeth Campbell,2,125:39:00,6,2.87,0.933,2,0
Jordyn Verbeek,11,14016:00:00,13,1.18,0.931,11,0
Acadia Carlson,20,1135:50:00,40,2.11,0.931,9,10
Cadence Petitclerc,17,933:24:00,36,2.31,0.931,6,9
Elise Hugens,21,1202:02:00,25,1.25,0.931,17,4
Arden Kliewer,18,1112:14:00,39,2.1,0.93,5,13
Erica Fryer,26,1549:20:00,36,1.39,0.929,18,8
Ava Cruikshank,1,31:40:00,1,1.89,0.929,0,0
Kara Mark,11,645:28:00,22,2.05,0.929,8,1
Amaya Giraudier,19,1096:11:00,31,1.7,0.928,13,4
Ericka Gagnon,13,15024:00:00,23,1.77,0.928,8,4
Brooke Vaccari,15,899:57:00,32,2.13,0.928,8,7
Reese Hiddleston,3,200:00:00,5,1.5,0.928,3,0
Aube Racine,18,25656:00:00,35,1.94,0.927,9,9
Dominique Chuaqui,6,292:07:00,8,1.64,0.927,1,3
Ridleigh Hansen,21,1273:58:00,45,2.12,0.926,14,7
Kendra Woodland,16,965:08:00,32,1.99,0.926,11,5
Madison Roche,1,60:00:00,2,2,0.926,1,0
Kaitlyn Ross,24,1316:45:00,42,1.91,0.924,17,7
Faith Miller,1,720:00:00,1,1,0.923,1,0
Mahika Sarrazin,22,26064:00:00,51,2.32,0.922,6,13
Kenzie Harmison,28,1655:22:00,64,2.32,0.922,10,18
Kristen Swiatoschik,9,503:13:00,21,2.5,0.921,5,3
Maude Desroches,8,10344:00:00,16,2,0.92,4,3
Caitlin Whitehead,22,30192:00:00,57,2.59,0.92,7,14
Shannon Harris,9,452:41:00,21,2.78,0.919,2,6
Sarah Forsythe,18,1081:56:00,42,2.33,0.917,6,12
Rachel Lee,2,101:28:00,4,2.37,0.917,1,0
Lauren Mackay,9,9096:00:00,15,1.67,0.916,2,4
Jade Rivard-Coulombe,18,24744:00:00,43,2.39,0.916,4,13
Zoe McGee,25,1422:36:00,66,2.78,0.916,8,17
Chloe Marshall,5,306:36:00,11,2.15,0.915,4,1
Emma Tennant,27,1592:01:00,57,2.15,0.915,14,13
Emma Wedgewood,24,1385:14:00,57,2.47,0.915,8,16
Jalyn St. Louis,7,268:01:00,12,2.69,0.915,1,2
Audrey Berthiaume,11,656:00:00,27,2.47,0.912,5,6
Kayla Renaud,9,471:19:00,22,2.8,0.912,3,4
Annick Boudreau,17,1027:54:00,37,2.16,0.911,10,7
Gabriella Durante,25,1395:19:00,59,2.54,0.911,11,14
Lauren Griffin,17,990:04:00,50,3.03,0.91,2,14
Charley Wing,8,9192:00:00,16,2,0.906,3,1
Erin Cabaday,8,488:45:00,21,2.58,0.905,2,6
Ella Brabrook,10,609:19:00,25,2.46,0.905,1,9
Brooklyn Oakes,11,584:24:00,23,2.36,0.903,8,3
Shaylin McFarlane,2,122:57:00,6,2.93,0.9,0,2
Alexis Jandciu,2,80:58:00,3,2.22,0.9,1,0
Agalé René de Cotret,8,11064:00:00,20,2.5,0.899,4,4
Sladics Jordan,3,156:32:00,7,2.68,0.899,1,1
Colby Wilson,7,361:42:00,16,2.65,0.899,4,3
Hanna Pagdato,21,1192:43:00,77,3.87,0.897,2,17
Kathryn Raitano,2,90:31:00,4,2.65,0.897,1,0
Amelia Awad,3,275:20:00,13,2.83,0.897,2,1
Brianna Sank,22,1316:29:00,73,3.33,0.896,4,18
Skye McDonald,9,477:02:00,31,3.9,0.895,1,7
Emily Shippam,10,664:18:00,29,2.62,0.893,5,5
Maggie Baxter,9,490:04:00,32,3.92,0.89,1,6
Frédérike Lavoie-Leroux,4,3264:00:00,9,2.25,0.889,1,2
Holly Borrett,5,251:29:00,14,3.34,0.888,0,5
Lindsey Johnson,7,365:55:00,25,4.1,0.887,2,5
Mabel Maltais,11,606:48:00,31,3.07,0.885,3,8
Kimberley Davidson,3,173:02:00,10,3.47,0.881,0,3
Sarah Carmichael,9,10872:00:00,29,3.22,0.877,1,7
Carlee Vance,1,59:39:00,2,2.01,0.875,0,1
Kaitlyn Evelyn,1,27:34:00,3,6.53,0.87,0,1
Meagan Relf,15,834:41:00,47,3.38,0.867,5,10
Natalie Williamson,9,567:44:00,42,4.44,0.863,1,8
Jenna Goertzen,2,1920:00:00,8,4,0.837,0,1
Karsyn Niven,1,60:00:00,7,7,0.806,0,1
Alexandra Desjardins,0,0:00,0,0,0,0,0
Audrey Levesque,0,0:00,0,0,0,0,0
Jasmine Kwan,0,0:00,0,0,0,0,0
Emily Hansen,0,0:00,0,0,0,0,0
Anya Epp,0,0:00,0,0,0,0,0
Sierra Eagles,0,0:00,0,0,0,0,0
Geneviève Lamoureux,0,0:00:00,0,0,0,0,0
Sophie Lajeunesse,0,0:00:00,0,0,0,0,0
Vanessa Campeau,0,0:00,0,0,0,0,0
Sara Cecchetto,0,0:00,0,0,0,0,0
Emma Dodgson,0,0:00,0,0,0,0,0
Keelee Hollowell,0,0:00,0,0,0,0,0
Jia Leblanc,0,0:00,0,0,0,0,0
Jordyn Nepinak-Sargent,0,0:00,0,0,0,0,0
Kara Thomas,0,0:00,0,0,0,0,0
Brooke Vial,0,0:00,0,0,0,0,0
Grace Vokes,0,0:00,0,0,0,0,0
Brooke Fawcett,0,0:00,0,0,0,0,0
Kate Holan,0,0:00,0,0,0,0,0
Lexi Peace,0,0:00,0,0,0,0,0
