Name,Position,GP,G,A,PTS,PTS/G,PPG,SHG,PIM
Gabrielle Santerre,F,25,17,28,45,1.80,7,1,18
Maude Pépin,F,25,20,17,37,1.48,6,0,10
Emilie Lussier,F,23,18,16,34,1.48,4,0,8
Mackenzie Kordic,F,28,15,21,36,1.29,2,1,22
Lillian George,F,28,18,18,36,1.29,3,0,4
Payton Hargreaves,F,25,14,15,29,1.16,7,1,6
Nelah Vigneau Sargeant,F,25,11,18,29,1.16,5,0,14
Katelyn Scott,D,28,11,21,32,1.14,3,0,22
Jessymaude Flag,F,24,11,16,27,1.13,7,1,6
Emilie Lavoy,F,24,15,12,27,1.13,1,2,33
Katie Chomiak,F,28,16,15,31,1.11,6,2,16
Leah Herrfort,F,25,14,13,27,1.08,2,2,14
Erica Plourde,,28,18,12,30,1.07,3,1,6
Maggie McKee,F,28,8,22,30,1.07,2,0,10
Elizabeth Lang,F,28,12,18,30,1.07,1,0,12
Chloé Gendreau,F,25,12,14,26,1.04,2,1,12
Courtney Kollman,F,27,11,17,28,1.04,3,0,12
Maggy Burbidge,F,27,14,14,28,1.04,5,0,14
Justine Turcotte,F,22,12,10,22,1.00,6,0,22
Emmy Fecteau,F,25,9,16,25,1.00,5,0,14
Hannah Tait,F,25,15,10,25,1.00,3,0,10
Victoria Butler,D,1,0,1,1,1.00,0,0,2
Chanreet Bassi,F,28,12,16,28,1.00,4,0,22
Malory Dominico,F,28,14,12,26,0.93,2,1,26
Ireland McCloskey,F,28,13,13,26,0.93,3,0,2
Leonia Philbert,D,25,1,22,23,0.92,0,0,12
Miranda Hatt,F,28,13,12,25,0.89,6,0,24
Olivia Eustace,F,28,15,10,25,0.89,3,0,8
Tatum James,F,28,9,16,25,0.89,2,1,16
Zoe Thibault,F,25,4,18,22,0.88,1,0,10
Ekaterina Pelowich,F,28,18,6,24,0.86,6,2,18
Mackenzie Keenan,D,28,4,20,24,0.86,0,0,4
Rylind MacKinnon,D,26,10,12,22,0.85,5,0,20
Alyson Reeves,F,24,9,11,20,0.83,0,0,20
Emily Baxter,F,28,14,9,23,0.82,4,2,4
Abby Lunney,F,28,12,11,23,0.82,1,1,8
Tori Verbeek,C,28,7,16,23,0.82,2,0,10
Cassidy Rhodes,F,28,11,12,23,0.82,2,0,6
Taylor Trussler,F,27,10,12,22,0.81,2,0,28
Sophia Gaskell,D,27,7,15,22,0.81,1,0,2
Jaime Magoffin,C,28,7,15,22,0.79,1,0,12
Sophie Lalor,F,28,12,10,22,0.79,4,1,8
Sydney Mercier,F,28,8,14,22,0.79,2,0,14
